INST,number,Subspecies,Locality,lat,long,1DPL,1MD,1PPD,1DPD,2PPL,2DPL,2PPW,2DPW,4ML,4MW,4PPW,4DPW,5ML,5PPL,5MW,5PPW,BorneanLocality
USNM,176411,T. t. tana,Mainland Borneo,1.6,118.2,3.47,0.8,0.9,1.41,6.51,4.2,1.02,1.42,10.85,1.06,0.93,1.44,7.5,5.41,1.1,0.95,
USNM,197199,T. t. tana,Mainland Borneo,0.8,117.9166667,,0.87,0.85,1.57,5.91,3.73,0.93,1.41,10.06,1.01,0.97,1.35,7.22,5.09,0.98,0.87,
USNM,197200,T. t. tana,Mainland Borneo,0.8,117.9166667,3.37,0.84,0.92,1.69,5.7,3.83,1.03,1.42,10.37,1.04,1.04,1.49,7.18,4.88,1.05,0.89,
USNM,197201,T. t. tana,Mainland Borneo,0.816666667,117.7,3.08,0.74,0.82,1.49,5.92,4.15,0.96,1.3,10.27,1,0.98,1.33,6.98,4.57,0.89,0.88,
USNM,198045,T. t. tana,Mainland Borneo,1.1,117.9,3.25,0.77,0.8,1.3,5.38,3.75,0.94,1.42,9.36,0.96,0.95,1.31,6.51,4.65,1.04,0.85,
USNM,198046,T. t. tana,Mainland Borneo,1.1,117.9,3.46,0.88,0.78,1.38,5.55,3.94,0.93,,9.8,0.88,0.91,1.29,6.85,4.72,0.81,0.85,
USNM,198047,T. t. tana,Mainland Borneo,1.1,117.9,3.54,0.82,0.91,1.4,6.09,4.41,0.97,1.39,10.6,0.94,0.96,,7.29,5.05,0.92,0.91,
USNM,198048,T. t. tana,Mainland Borneo,1.1,117.9,3.43,0.81,0.84,1.31,5.74,4.26,0.91,1.38,10.36,0.92,0.87,,6.92,4.75,0.95,0.9,
USNM,198049,T. t. tana,Mainland Borneo,1.183333333,117.9166667,3.44,0.9,0.8,1.43,5.98,4.49,0.96,1.49,10.71,1.05,0.97,,7.51,4.69,0.95,0.9,
USNM,199158,T. t. tana,Mainland Borneo,0.5,117.15,3.21,0.82,0.74,,5.65,3.83,0.96,1.45,9.69,0.94,0.94,,6.74,4.63,0.94,0.86,
AMNH ,103409,T. t. tana,Mainland Borneo,2.716666667,117.2166667,,0.93,0.85,,6.3,4.43,1.03,1.59,10.84,1.07,0.91,1.41,7.56,,1.1,0.95,
AMNH ,103410,T. t. tana,Mainland Borneo,2.716666667,117.2166667,3.26,0.77,0.81,1.42,5.94,4.27,0.97,1.43,9.88,1,0.92,1.35,6.82,5.09,0.99,0.85,
AMNH ,103411,T. t. tana,Mainland Borneo,2.716666667,117.2166667,,0.9,0.9,1.63,,4.56,1.02,1.44,10.36,1.19,0.97,1.32,7.12,5.06,1.13,0.89,
AMNH ,103891,T. t. tana,Mainland Borneo,2.783333333,116.5833333,3.53,0.81,0.88,1.46,6,4.84,1.07,1.38,9.89,,0.94,1.54,7.24,5.09,1.04,,
AMNH ,103895,T. t. tana,Mainland Borneo,2.783333333,116.5833333,3.43,0.81,0.83,1.44,,4.67,0.95,1.42,9.97,0.93,0.89,1.43,6.84,4.88,0.83,0.82,
AMNH,102164,T. t. tana,Mainland Sumatra,-3.3,102.8666667,3.72,0.86,0.93,1.39,6.24,4.6,1.1,1.46,9.98,1.11,1.05,1.52,6.78,5.04,1.11,1.03,
AMNH,102511,T. t. tana,Mainland Sumatra,-2.97925,104.7690556,,0.84,0.87,,6.06,4.79,1,,10.33,1,0.99,,7.05,5.01,0.99,0.95,
AMNH,102515,T. t. tana,Mainland Sumatra,-2.97925,104.7690556,3.09,0.93,0.9,1.47,,5.22,1.03,1.59,9.94,1.1,0.97,1.55,6.64,5.32,1.19,0.92,
AMNH,102516,T. t. tana,Mainland Sumatra,-2.97925,104.7690556,3.6,0.82,0.88,,5.66,4.4,1.04,1.35,9.89,0.96,1.02,1.41,6.95,4.69,1.03,0.95,
AMNH,102517,T. t. tana,Mainland Sumatra,-2.97925,104.7690556,3.55,0.81,0.84,,6.08,4.48,1.01,1.41,10.16,0.99,0.93,1.4,7.23,4.9,0.92,0.99,
AMNH,102519,T. t. tana,Mainland Sumatra,-2.97925,104.7690556,3.21,0.8,0.81,1.61,5.58,4.4,0.96,1.31,9.54,0.95,0.93,,6.73,4.71,1,0.92,
AMNH,102523,T. t. tana,Mainland Sumatra,-2.97925,104.7690556,,0.81,0.87,,,4.9,1.02,1.45,10.42,1.05,0.97,1.37,7.59,,0.98,0.95,
AMNH,102525,T. t. tana,Mainland Sumatra,-2.97925,104.7690556,3.63,0.83,0.84,,6.22,4.45,1.01,1.38,10.19,1.05,0.95,,7.57,5.01,0.95,0.91,
AMNH,102829,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,3.48,0.75,0.81,1.56,5.95,3.62,1.02,1.37,9.49,1,1.03,1.31,7,4.83,0.97,0.94,
AMNH,102830,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,3.87,0.75,0.84,1.7,5.9,4.05,1.01,1.52,9.99,1.01,1,1.42,7.06,,1.01,1.01,
AMNH,102831,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,3.4,0.81,0.85,1.51,5.86,4.39,1.02,1.53,10.07,0.98,1.03,,6.87,4.95,1.06,1.01,
AMNH,102832,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,3.52,0.82,0.82,1.51,5.73,4.51,0.92,1.29,9.58,0.93,0.99,1.41,6.73,5.02,1.04,0.96,
AMNH,102833,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,3.81,0.8,0.89,1.63,5.85,4.82,1.03,1.44,9.62,1.12,0.99,1.36,6.55,4.81,1.14,0.95,
AMNH,102834,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,3.61,0.8,0.81,1.55,5.86,3.98,0.96,1.37,9.44,1,0.95,,6.87,5.01,1.08,0.9,
AMNH,102835,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,3.68,0.91,0.92,1.73,6.02,4.33,1.07,1.63,9.73,1.05,1.02,1.46,6.77,5.11,1.16,0.97,
AMNH,102836,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,3.58,0.89,0.87,1.57,6.33,4.49,0.97,1.5,10.29,1,0.95,1.54,7.43,5.17,1,0.88,
AMNH,102838,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,3.6,0.87,0.83,1.76,5.76,4.37,0.99,1.36,9.35,1.03,0.9,1.37,6.66,,0.99,0.89,
AMNH,102839,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,3.84,0.81,0.86,1.74,5.79,4.64,1.01,1.54,9.54,0.97,1.04,1.28,6.73,,0.93,0.9,
AMNH,102840,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,3.74,0.89,0.79,1.56,6.03,4.5,1.02,1.42,9.19,1.01,1.01,,6.64,4.92,1.03,1,
AMNH,102841,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,3.63,0.82,0.83,1.59,5.86,4.79,0.89,1.31,9.58,0.89,0.79,,6.66,4.68,0.93,0.85,
AMNH ,102842,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,3.28,0.86,0.84,1.37,6.24,4.26,0.96,1.43,9.88,0.93,0.99,1.45,6.86,4.62,0.92,0.96,
AMNH ,102843,T. t. tana,Mainland Sumatra,-4.942444444,104.9441111,3.86,0.89,0.92,,5.93,4.02,1.03,1.4,10.21,0.99,0.98,1.46,7.2,,1.01,0.91,
AMNH ,102853,T. t. tana,Mainland Sumatra,-5.668444444,105.5828333,3.44,0.79,0.79,1.56,5.84,4.65,1,1.49,10.27,1.03,0.91,,7.28,4.76,1.09,0.89,
AMNH ,102854,T. t. tana,Mainland Sumatra,-5.668444444,105.5828333,3.62,0.96,0.9,,6.27,4.98,1.04,,9.75,1.05,1.02,1.38,7.28,,1,0.96,
AMNH ,106476,T. t. tana,Mainland Sumatra,-5.114833333,104.9280278,3.28,0.88,0.76,1.48,5.51,4.75,1.01,1.27,9.53,0.95,0.99,1.35,6.25,4.7,0.86,0.81,
AMNH ,106477,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,3.93,0.78,0.84,1.39,5.77,4.82,0.92,1.31,9.62,0.96,0.93,,6.71,,1.02,0.89,
AMNH ,106478,T. t. tana,Mainland Sumatra,-5.114833333,104.9280278,3.69,0.89,0.87,1.38,5.44,4.79,1.01,1.38,9.83,1.01,0.99,1.46,6.65,4.49,1.01,0.92,
AMNH ,106479,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,3.53,,0.77,1.45,6.18,4.31,1.1,,,0.92,0.94,,7.29,,1.09,0.82,
AMNH ,106481,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,3.61,0.96,0.86,1.46,6.25,4.79,1.06,1.46,10.43,0.97,0.99,1.33,7.38,5.12,1.09,0.88,
AMNH ,106482,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,3.74,0.87,0.92,1.35,6.09,4.2,1.02,1.51,9.85,1.09,0.95,,6.84,4.77,0.98,0.91,
AMNH ,106483,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,3.72,0.88,0.87,1.46,5.83,5.02,1.04,1.49,10.12,1.05,0.98,,6.85,4.75,1.07,0.98,
AMNH ,106485,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,3.83,0.79,0.87,1.61,5.95,4.42,1.04,1.45,10.56,1.06,1.04,1.49,7.4,4.78,1.03,0.95,
AMNH ,106486,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,3.19,0.83,0.85,1.56,6,4.94,1.07,1.52,9.69,1.06,1.01,1.53,6.61,5.12,1.04,0.94,
AMNH ,106488,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,3.35,0.74,0.79,1.43,5.96,4.49,0.89,1.39,10.02,0.96,0.87,,6.81,5.03,0.92,0.9,
AMNH ,106489,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,3.19,0.79,0.84,1.59,5.77,4.54,0.97,1.38,9.8,1,0.89,1.37,6.79,4.93,1.09,0.91,
AMNH ,106490,T. t. tana,Mainland Sumatra,-3.229027778,102.55175,3.84,0.84,0.85,1.46,6.24,4.44,0.96,1.41,10.89,1,0.95,,7.63,4.99,0.98,0.87,
USNM,114412,T. t. tuancus,Offshore Islands,2.141611111,97.28769444,,0.81,0.82,1.47,5.38,,0.95,,9.26,,1.02,,,4.61,,1.03,
USNM,114413,T. t. tuancus,Offshore Islands,2.166666667,97.26666667,3.96,0.86,0.91,1.57,5.58,3.85,1.1,1.57,,1.01,1.04,,6.32,4.71,1.09,1.05,
FMNH,88591,T. t. utara,Mainland Borneo,1.867416667,113.0258056,3.36,1,0.87,,,,1.11,,10.01,1.05,,1.55,7,,0.96,0.97,
USNM,19187,T. t. utara,Mainland Borneo,5.683333333,118.3833333,,1.06,,,,4.62,,,,,,,,,,,Sabah
USNM,19224,T. t. utara,Mainland Borneo,5.5,117,,,,,,,,,,,,,,,,,
USNM,19225,T. t. utara,Mainland Borneo,5.5,117,,,,,,,,,,,,,,,,,
USNM,83938,T. t. utara,Mainland Borneo,4.6,113.9666667,,0.82,0.81,,6.09,4.29,0.92,1.34,10.73,0.9,0.92,,7.52,5.12,0.96,0.83,
USNM,311454,T. t. utara,Mainland Borneo,1.05,111.85,3.69,0.91,0.83,,6.17,4.39,1.16,1.58,,1.06,1.12,1.52,7.25,5.07,1.04,0.96,
USNM,311455,T. t. utara,Mainland Borneo,2.016666667,112.9333333,3.6,0.76,0.89,1.3,5.61,3.1,0.94,1.34,9.63,,0.98,,6.64,4.57,1.09,0.93,
USNM,311456,T. t. utara,Mainland Borneo,2.016666667,112.9333333,3.58,0.92,0.83,,6.13,4.12,0.92,,10.21,,1,,7.02,4.98,1.09,0.94,
