Museum,MuseumCat#,Subspecies,Locality,lat,long,type,Sex,CPL,CIL,UTL,MTL,PPL,MB,LB,LIB,ZB,BB,LPL,CNL,PBPL,LTPL,LCH,MCH,MCW,MCIL,LTL
USNM,488040,T. t. paitana,Mainland Borneo,6,116.6833333,,f,54.08,52.31,29.92,20.13,34.13,18.28,20.48,15.31,28.02,20.91,58.42,53.14,42.42,30.39,14.06,10.29,3.92,43.53,28.58
USNM,488043,T. t. paitana,Mainland Borneo,6.016666667,116.8666667,,f,51.17,,,19.5,31.74,18.25,20.52,15.37,26.68,20.78,55.45,50.19,40.09,28.8,13.35,10.09,3.62,41.16,27.56
USNM,488046,T. t. paitana,Mainland Borneo,6,116.6833333,,f,53.97,53.11,32.29,20.61,35.19,18.46,20.8,16.25,27.37,20.84,57.79,53.34,42.7,30.8,13.36,10.21,3.87,43.22,29.79
USNM,488047,T. t. paitana,Mainland Borneo,6,116.6833333,,m,55.46,54.28,31.66,20.92,34.35,19.22,20.12,16.21,27.66,19.23,59.58,54.69,42.74,30.32,13.84,10.25,3.97,44.56,30
USNM,488049,T. t. paitana,Mainland Borneo,6.116666667,116.8,,m,56.18,55.18,31.65,21.33,35.18,18.21,21.69,16.25,27.69,19.81,60.35,55.85,44.19,32.78,13.35,10.74,4.31,45.5,29.93
USNM,488050,T. t. paitana,Mainland Borneo,6.016666667,116.8666667,,m,54.24,53.05,31.31,20.6,33.76,17.75,20.07,15.79,27.7,20.58,58.26,52.72,42.04,29.87,14.46,9.26,3.71,43.95,29.4
USNM,488051,T. t. paitana,Mainland Borneo,6,116.6833333,,m,,,,21.17,,17.94,21.16,15.01,27.49,21.16,,,,,13.92,9.42,3.38,44.1,29.45
USNM,104712,T. t. sirhassenensis,Offshore Islands,2.5,109.05,type,m,51.39,50.38,29.86,19.94,31.92,17.95,18.84,14.3,25.14,19.05,54.63,49.67,39.52,28.49,13.39,9.43,3.31,41.52,28.3
USNM,104711,T. t. sirhassenensis,Offshore Islands,2.5,109.05,,f,53.53,52.31,31.29,20.78,33.66,17.34,19.31,14.36,25.87,18.96,57.73,51.59,41.91,30.23,13.14,9.97,3.74,43.22,29.67
USNM,104713,T. t. sirhassenensis,Offshore Islands,2.5,109.05,,f,52.23,51.13,30.44,19.91,32.96,17.32,19.23,13.67,25.2,,56.05,50.28,40.65,29.7,12.92,9.29,3.51,42.41,28.83
BMNH,94.9284,T. t. sirhassenensis,Offshore Islands,2.5,109.05,,m,,,30,20.17,32.27,,19.3,13.9,25.66,19.25,,,39.34,28.31,,9.7,3.63,40.82,28.56
BMNH,95.3214,T. t. tana,Mainland Sumatra,-3.751694444,102.3601944,type,,,,30.4,20.51,,,17.9,,,,,,,,,8.9,3.23,42.84,29.17
USNM,145574,T. t. tana,Mainland Borneo,-1.05,110.1,,f,55.71,54.5,30.27,20.11,34.48,19.11,19.85,14.58,25.49,20.71,59.7,,43.32,31.31,14.42,9.61,3.21,44.62,
USNM,151885,T. t. tana,Mainland Borneo,-3,116.2,,f,54.69,52.59,30.76,19.96,33.96,18.31,,15.05,26.07,,58.44,53.35,42.47,31.19,13.97,9.8,3.58,44.28,
USNM,154340,T. t. tana,Mainland Borneo,-1.25,116.7166667,,f,54.77,53.32,30.92,19.89,34.12,18.73,19.96,15.38,26.67,20.55,58.25,52.89,42.78,31.08,14.47,9.47,3.63,43.43,28.99
USNM,154341,T. t. tana,Mainland Borneo,-2.55,116.4166667,,m,53.45,52.4,30.27,19.46,33.41,18.57,20.36,15.73,26.71,19.6,57.15,52.17,41.51,30.12,13.62,9.22,3.45,42.85,28.45
USNM,174612,T. t. tana,Mainland Sumatra,-3.75,98.73333333,,sex unknown,53.44,51.7,30.02,19.94,33.4,18.67,19.76,14.8,24.91,19.99,58.5,51.96,41.96,30.4,14.04,8.68,3.07,42.71,28.83
USNM,176403,T. t. tana,Mainland Borneo,2.183333333,117.4666667,,m,51.52,50.33,29.24,19.54,,18.05,18.77,13.67,24.6,19.12,54.99,50.79,39.99,28.89,13.18,8.69,3.2,40.94,28.11
