Museum,MuseumCat#,Subspecies,Locality,lat,long,type,Sex,MTL,PPL,LB,LIB,PBPL,LTPL,MCH,MCW
BMNH,71.2599,utara,Mainland Borneo,4.7,118.0333333,,m,20.9,33.45,20,15.02,41.93,29.81,9.55,3.96
BMNH,71.26,utara,Mainland Borneo,4.7,118.0333333,,f,22.01,35.27,19.27,14.15,42.43,30.73,9.66,3.64
BMNH,71.2601,utara,Mainland Borneo,4.7,118.0333333,,f,21.53,35.42,19.7,15.29,43.16,31.56,10.09,3.79
BMNH,71.2602,utara,Mainland Borneo,1.527888889,110.3411111,,f,21.18,35.61,19.56,15.08,44.11,31.83,9.3,3.86
BMNH,71.2604,utara,Mainland Borneo,5.583333333,116.25,,f,,36.33,18.98,13.84,44.18,32.1,,
BMNH,71.2605,utara,Mainland Borneo,4.7,118.0333333,,f,20.83,35.21,21.25,15.87,44.78,33.11,10.69,4.13
BMNH,71.2606,utara,Mainland Borneo,4.7,118.0333333,,f,20.29,35.19,19.85,15.46,43.38,31.72,9.86,3.38
BMNH,10.4573,,Mainland Borneo,-1.25,115.3833333,,f,18.69,32.22,18.93,14.64,40.55,28.8,9.46,3.62
BMNH,10.4574,utara,Mainland Borneo,-3.65,115.4,,m,,32.2,19.22,14.5,40.36,29.3,9.13,3.55
BMNH,10.4575,,Mainland Borneo,-3.816666667,115.6333333,,f,19.52,,19.59,14.41,,,9.25,3.11
BMNH,90.6252,utara,Mainland Borneo,1.2,110.3666667,,sex unknown,22.51,37.97,20.73,15.67,47.07,35.07,10.21,3.62
BMNH,92.274,utara,Mainland Borneo,3.55,114.25,,m,20.26,34.75,19.72,15.05,43.28,31.6,8.69,3.53
BMNH,93.412,chrysura,Mainland Borneo,5.466666667,115.3833333,,sex unknown,20.69,35.03,21.5,16.1,43.48,31.22,9.76,3.88
BMNH,94.621,utara,Mainland Borneo,4.046666667,114.9297222,,m,22.14,38.09,21.89,16.48,48.14,35.72,10.26,4.23
BMNH,99.1294,,Mainland Borneo,3.55,114.25,,m,20.12,35.27,22.21,16.63,44.5,32.51,10.06,3.79
BMNH,99.1295,utara,Mainland Borneo,3.55,114.25,type,m,21.48,35.73,21.13,15.45,,32.97,8.76,3.85
BMNH,76.5219,chrysura,Mainland Borneo,5.035638889,115.6014722,type,m,22.02,36.46,20.55,16.38,45.5,33.22,10.41,4.05
BMNH,93.411,paitana,Mainland Borneo,6.408611111,117.4052222,type,,21.72,35.56,21.13,16.01,44.62,32.69,,
